Almacenamiento interno,Capacidad,Cámara,Descripcion,Direccion,Fecha,Marca,Megapíxeles,Modelo del procesador,NFC,Núcleos del procesador,Número de artículo,Precio,Pulgadas,Sistema operativo,Tamaño,Tecnología de imagen,Tipo,Velocidad 
64 GB ,6 GB ,Sí ,"Móvil - Samsung Galaxy S9+, 6.2'', Curva Super AMOLED, Octa-Core, 64 GB, 6 GB RAM, Cámara Dual 12 MP + 12 MP, Red 4G, 3500 mAh, Azul",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-plus-6.2-azul-1398570#specifications,08/25/18 - 18:35:16,Samsung,,,,8 ,1398570.0,899.0,6.2 ,Android ,"Mas de 5,5” ",,Curva Super AMOLED ,
64 GB ,4GB ,Sí ,"Móvil - Xiaomi Redmi 5 Plus, 5.99"", Full HD, 4GB RAM, 12 MP, Memoria 64 GB, Dual SIM, Negro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-5-plus-5-99-full-hd-1400531#specifications,08/25/18 - 18:35:18,Xiaomi,,,,,1400531.0,192.0,,Android 7.1.2 Nougat + MIUI 9.2 ,,,Octa-core 2 GHz ,
64 GB ,4 GB ,,"Móvil - Huawei P20 Lite, FullView 5.84"" Full HD+, Kirin 659, 4 GB RAM, 64 GB, Dual cámara, Azul",https://tiendas.mediamarkt.es/p/movil-huawei-p20-lite-fullview-5.84-full-1401774#specifications,08/25/18 - 18:35:19,Huawei,,,,8 ,1401774.0,292.0,5.84 ,Android 8 (EMUI 8.1) ,,,,
64 GB ,6 GB ,Sí ,"Móvil - Samsung Galaxy S9+, 6.2, Curva Super AMOLED, Octa-Core, 64 GB, 6 GB RAM, Cámara Dual 12 MP + 12 MP, Red 4G, 3500 mAh, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-s9-plus-6.2-negro-1398571#specifications,08/25/18 - 18:35:20,Samsung,,,,8 ,1398571.0,899.0,6.2 ,Android ,"Mas de 5,5” ",,Curva Super AMOLED ,
64 GB ,4GB ,Sí ,"Móvil - Xiaomi Redmi 5 Plus, 5.99"", Full HD, 4GB RAM, 12 MP, Memoria 64 GB, Dual SIM, Azul",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-5-plus-5.99-full-hd-azul-1400532#specifications,08/25/18 - 18:35:22,Xiaomi,,,,,1400532.0,199.0,5.99 ,Android 7.1.2 Nougat + MIUI 9.2 ,,,Octa-core 2 GHz ,
64GB ,,Sí ,"Móvil - iPhone 8, 64GB, Red 4G LTE, Pantalla Retina HD de 4.7"", 12 Mpx, Gris espacial",https://tiendas.mediamarkt.es/p/movil-iphone-8-64gb-red-4g-lte-pantalla-1376793#specifications,08/25/18 - 18:35:24,Apple,,,,6 ,1376793.0,773.0,4.7 ,iOS ,"De 4” a 4,9” ","True Tone, IPS ",,
32GB ,4GB ,Sí ," Móvil - Samsung Galaxy A8 (2018), 5.6'', Full HD+, 4 GB RAM, 32 GB, 16 MP + 8 MP, Dual Sim, Negro",https://tiendas.mediamarkt.es/p/movil-samsung-galaxy-a8-32bg-5.6-negro-1391173#specifications,08/25/18 - 18:35:26,Samsung,,,,8 ,1391173.0,371.0,5.6 ,7.1.1 ,"Mas de 5,5” ",,,
64 GB ,,,"Móvil - Apple iPhone 8 Plus, 5.5"" Full HD, Cámara 12MPx + 7MPx, 64 GB, Plata",https://tiendas.mediamarkt.es/p/movil-apple-iphone-8-plus-5-5-full-h-1376800#specifications,08/25/18 - 18:35:27,Apple,,,,,1376800.0,859.0,5.5 ,iOS 11 ,"5.5"" ",,Retina HD ,
2 GB ,16 GB ,,"Móvil - Huawei Y6 2018, 5.7"", HD, IPS, Snapdragon 425, 2 GB RAM, 16 GB, 4G, 13 MP + 8 MP, Dual Sim, Negro",https://tiendas.mediamarkt.es/p/movil-huawei-y6-2018-5.7-hd-ips-negro-1417879#specifications,08/25/18 - 18:35:28,Huawei,,,,4 ,1417879.0,149.0,5.7 ,Android ,"Mas de 5,5” ",IPS ,Capacitiva ,
64 ,4 GB ,Sí ,"Móvil - Xiaomi Redmi Note 5, 5.99"", Full HD, 4 GB RAM, 13 MP, Memoria 64 GB, Dual SIM, Oro",https://tiendas.mediamarkt.es/p/movil-xiaomi-redmi-note-5-5.99-full-hd-4-1414003#specifications,08/25/18 - 18:35:30,Xiaomi,,,,8 ,1414003.0,231.0,,Android MIUI ,,,Snapdragon 636 ,
