,Almacenamiento interno,Descripcion,Direccion,Fecha,Marca,Precio,Pulgadas
210,16.0,"Móvil - Blu GRAND XL LTE, dorado, pantalla 5.5"" HD, Dual SIM, 4G, Quad Core, 16GB, cámara 13 MP",https://tiendas.mediamarkt.es/p/movil-blu-grand-xl-lte-dorado-pantalla-1389250#specifications,08/25/18 - 18:39:44,Blu,149.0,5.5
211,16.0,"Móvil - Blu GRAND XL LTE, rosa, pantalla 5.5"" HD, Dual SIM, 4G, Quad Core, 16GB, cámara 13 MP",https://tiendas.mediamarkt.es/p/movil-blu-grand-xl-lte-rosa-pantalla-5.5-1389251#specifications,08/25/18 - 18:39:45,Blu,149.0,5.5
212,16.0,"Móvil - Blu Studio J8, 5.5"" HD, 2GB RAM, 16GB, 8+5 MPx, Dorado",https://tiendas.mediamarkt.es/p/blu-studio-j8-5-5pds4g4n16gbgd-1389259#specifications,08/25/18 - 18:39:47,Blu,139.0,5.5
213,32.0,"Móvil - ASUS Zenfone 4 Max, 5.5"" HD, 3GB RAM, Memoria de 32GB, Doble cámara trasera de 13+5 MPx, Cámara delantera 8 MPx, Dorado",https://tiendas.mediamarkt.es/p/movil-asus-zenfone-4-max-5.5-hd-3gb-ram-1376981#specifications,08/25/18 - 18:39:47,Asus,279.0,5.5
214,16.0,"Móvil - Blu GRAND XL LTE, plateado, pantalla 5.5"" HD, Dual SIM, 4G, Quad Core, 16GB, cámara 13 MP",https://tiendas.mediamarkt.es/p/movil-blu-grand-xl-lte-plateado-pantalla-1389252#specifications,08/25/18 - 18:39:49,Blu,149.0,5.5
215,16.0,"Móvil - Blu Life Max, 5.5'', HD, 4G, MediaTek 6737, 16 GB, 8 MP, Dual SIM, Azul",https://tiendas.mediamarkt.es/p/movil-blu-life-max-5.5-hd-4g-mediatek-1389253#specifications,08/25/18 - 18:39:50,Blu,110.0,5.5
216,16.0,"Móvil - Blu R2 LTE, 5.2 pulgadas, Dual Sim, 4G, 16GB, 13Mpx + 13Mpx, Negro",https://tiendas.mediamarkt.es/p/movil-blu-r2-lte-5.2-pulgadas-dual-sim-4g-1389254#specifications,08/25/18 - 18:39:51,Blu,149.0,5.2
217,16.0,"Móvil - Blu R2 LTE, 5.2 pulgadas, Dual Sim, 4G, 16GB, 13Mpx + 13Mpx, Dorado",https://tiendas.mediamarkt.es/p/movil-blu-r2-lte-5.2-pulgadas-dual-sim-4g-1389255#specifications,08/25/18 - 18:39:52,Blu,149.0,5.2
218,32.0,"Móvil - ASUS Zenfone 4 Max, 5.5"" HD, 3GB RAM, 32GB, Doble cámara trasera de 13+5 MP, Cámara delantera 8 MP, Negro",https://tiendas.mediamarkt.es/p/asus-zenfone-4-max-5.5-hd-3gb-ram-memoria-1376980#specifications,08/25/18 - 18:39:54,Asus,249.0,5.5
219,32.0,"Móvil - LG Q6, 5.5'', Full HD+, Snapdragon 435, 3 GB RAM, 32 GB, 13 MP, Negro",https://tiendas.mediamarkt.es/p/movil-lg-q6-pantalla-5.5-pulgadas-1372827#specifications,08/25/18 - 18:39:55,LG,219.0,5.5
220,16.0,"Móvil - ZTE Blade A520, 5'', 16 GB, 2 GB RAM, 13 MP, Azul",https://tiendas.mediamarkt.es/p/movil-zte-blade-a520-azul-1371223#specifications,08/25/18 - 18:39:57,ZTE,117.0,5.0
221,32.0,"Móvil - BQ Aquaris X, 32GB, 4G, 16 Mpx, Huella dactilar, 5.2 pulgadas, Full HD, Rosa",https://tiendas.mediamarkt.es/p/movil-bq-aquaris-x-rosa-1363808#specifications,08/25/18 - 18:39:59,BQ,259.0,5.0
222,32.0,"Móvil - LG G6, Pantalla 5.7"" QHD+, Cámara 13 MP Dual, 4 GB RAM, Memoria de 32 GB, Negro Astral",https://tiendas.mediamarkt.es/p/movil-lg-g6-pantalla-5.7-qhd-camara-13mp-1360878#specifications,08/25/18 - 18:40:01,LG,399.0,5.7
